,organizationId,platform,title,description,proposer,proposalCreatedAt,proposalNativeId,endedAt,status,totalVotes,choicesMappedToScores,proposalUrl,proposerProfilePageUrl
0,85945042-60df-4941-9a58-02370e8ac5ce,SNAPSHOT,will eth up to 10k$ this year?,will eth up to 10k$ this year?,0xd4d2b1988f2db94ced417bb15e2251db32360d68,2022-08-22T02:21:46.000Z,0xcdcdf4030d32c1164e8137eaffe454f24d8444e7ed6b4242c525cfc707a11a70,2028-07-31T04:00:00.000Z,ACTIVE,3,"{""yes"":""["",""no "":""0""}",https://deepdao.io/feed-proposal/0xcdcdf4030d32c1164e8137eaffe454f24d8444e7ed6b4242c525cfc707a11a70,https://deepdao.io/user/0xd4d2b1988f2db94ced417bb15e2251db32360d68/verified_dao_experience
1,b30a7ea4-390e-49d2-916b-f476e091036f,SNAPSHOT,辟谷7能瘦多少斤？,,0x022111936500251ea358a98cbb158d77580efb42,2022-10-08T12:35:09.000Z,0x95ecf578f0bba9462414095c3371d898c5daeaf07c508141f7fef74518c2a25e,2022-12-31T04:00:00.000Z,ACTIVE,3,"{""10-15斤"":""["",""15-20斤"":""0"",""20-30斤"":"",""}",https://deepdao.io/feed-proposal/0x95ecf578f0bba9462414095c3371d898c5daeaf07c508141f7fef74518c2a25e,https://deepdao.io/user/0x022111936500251ea358a98cbb158d77580efb42/verified_dao_experience
2,2707fc6e-bf61-437c-83ce-adbbb92fac2c,,"Schedule a majority-carries referendum to be tabled next once it is legal to schedule
an external referendum.

The dispatch of this call must be `ExternalMajorityOrigin`.

- `proposal_hash`: The preimage hash of the proposal.

Unlike `external_propose`, blacklisting has no effect on this and it may replace a
pre-scheduled `external_propose` call.

Weight: `O(1)`",,fXznm8JzrUuyEijnyy8M2tfdFQeot2bUrERe3ZK9FwTaZZw,2022-11-10T06:39:36.480Z,bifrost_636f756e-00000475,2022-11-11T01:55:24.360Z,ACTIVE,3,,https://deepdao.io/feed-proposal/bifrost_636f756e-00000475,https://deepdao.io/user/fXznm8JzrUuyEijnyy8M2tfdFQeot2bUrERe3ZK9FwTaZZw/verified_dao_experience
3,3f63b2f4-e6e3-4eec-a770-fe88e6f5bc13,SNAPSHOT,去中心化nft swap（集艺术家nft发布、众筹、销毁一体）,"nft市场在牛转熊，但nft的浪潮每天还在继续，每天都有一大波新的nft被mint，又有一大波旧的nft销声匿迹。。。为了保证nft价值，lpnft应运而生。
lpnft是什么？
lpnft =一个nft + m个代币token
lpnft同时具有代币价值 + nft艺术价值。
用户在投资lpnft后，无需担心nft不受认可，价值归0，因为有代币价值做兜底支撑；
lpnft集成了staking + swap收益发放模式，实现了一种nft长期持有就不会亏的理想情况；
3*3原则同样适用lpnft价值模型，年化收益率可观。
 
![nft lpnft设计.png](ipfs://bafkreieylj2jiikxqxnqgr332tnnwac6eyjmisn6xdfuvqgmvstipppk3m)
    


",0xb393a39b0f52e2378b04ca4d688732e7d5856464,2022-11-26T06:18:53.000Z,0x49288d41474a781a9f1d01c1d33cd1e50316b1e72d8f07fa9c1d5748b405a264,2022-12-31T04:00:00.000Z,ACTIVE,3,"{""支持"":""["",""不支持"":""1""}",https://deepdao.io/feed-proposal/0x49288d41474a781a9f1d01c1d33cd1e50316b1e72d8f07fa9c1d5748b405a264,https://deepdao.io/user/0xb393a39b0f52e2378b04ca4d688732e7d5856464/verified_dao_experience
4,6418043b-e3dd-42df-9dea-59046b3b9977,SNAPSHOT,Will zks have token in the future?,Will zks have token in the future?,0xbfee909630813b12d17ea48a111e6a5d6e8a63cf,2022-06-26T02:10:23.000Z,0x087c2782b87731a1acdaba38c42612be9ac9b977bc828a6fae6b55bd83bba883,2028-10-30T04:00:00.000Z,ACTIVE,3,"{""yes "":""["",""no "":""3""}",https://deepdao.io/feed-proposal/0x087c2782b87731a1acdaba38c42612be9ac9b977bc828a6fae6b55bd83bba883,https://deepdao.io/user/0xbfee909630813b12d17ea48a111e6a5d6e8a63cf/verified_dao_experience
5,2707fc6e-bf61-437c-83ce-adbbb92fac2c,,,,fXznm8JzrUuyEijnyy8M2tfdFQeot2bUrERe3ZK9FwTaZZw,2022-10-09T07:31:30.213Z,bifrost_636f756e-00000435,2022-10-10T07:02:24.418Z,ACTIVE,3,,https://deepdao.io/feed-proposal/bifrost_636f756e-00000435,https://deepdao.io/user/fXznm8JzrUuyEijnyy8M2tfdFQeot2bUrERe3ZK9FwTaZZw/verified_dao_experience
6,2707fc6e-bf61-437c-83ce-adbbb92fac2c,,"Send a batch of dispatch calls and atomically execute them.
The whole transaction will rollback and fail if any of the calls failed.

May be called from any origin.

- `calls`: The calls to be dispatched from the same origin. The number of call must not
  exceed the constant: `batched_calls_limit` (available in constant metadata).

If origin is root then call are dispatch without checking origin filter. (This includes
bypassing `frame_system::Config::BaseCallFilter`).

# <weight>
- Complexity: O(C) where C is the number of calls to be batched.
# </weight>",,fXznm8JzrUuyEijnyy8M2tfdFQeot2bUrERe3ZK9FwTaZZw,2022-10-14T03:25:12.288Z,bifrost_636f756e-00000439,2022-10-14T08:07:06.249Z,ACTIVE,3,,https://deepdao.io/feed-proposal/bifrost_636f756e-00000439,https://deepdao.io/user/fXznm8JzrUuyEijnyy8M2tfdFQeot2bUrERe3ZK9FwTaZZw/verified_dao_experience
7,2707fc6e-bf61-437c-83ce-adbbb92fac2c,,,,fXznm8JzrUuyEijnyy8M2tfdFQeot2bUrERe3ZK9FwTaZZw,2022-10-27T02:47:12.272Z,bifrost_636f756e-00000451,2022-10-27T06:29:54.279Z,ACTIVE,3,,https://deepdao.io/feed-proposal/bifrost_636f756e-00000451,https://deepdao.io/user/fXznm8JzrUuyEijnyy8M2tfdFQeot2bUrERe3ZK9FwTaZZw/verified_dao_experience
8,2707fc6e-bf61-437c-83ce-adbbb92fac2c,,"Send a batch of dispatch calls and atomically execute them.
The whole transaction will rollback and fail if any of the calls failed.

May be called from any origin.

- `calls`: The calls to be dispatched from the same origin. The number of call must not
  exceed the constant: `batched_calls_limit` (available in constant metadata).

If origin is root then call are dispatch without checking origin filter. (This includes
bypassing `frame_system::Config::BaseCallFilter`).

# <weight>
- Complexity: O(C) where C is the number of calls to be batched.
# </weight>",,fAGgdvAYwqCwpt3Wda1mzpACnNyESbfgfgvm1RLSudBsUEu,2022-08-09T02:23:48.057Z,bifrost_636f756e-00000382,2022-08-09T07:32:30.271Z,ACTIVE,3,,https://deepdao.io/feed-proposal/bifrost_636f756e-00000382,https://deepdao.io/user/fAGgdvAYwqCwpt3Wda1mzpACnNyESbfgfgvm1RLSudBsUEu/verified_dao_experience
9,2707fc6e-bf61-437c-83ce-adbbb92fac2c,,"Create a liquidity-pool which type is `PoolType::SingleToken`, accepts any token as
deposit.",,fXznm8JzrUuyEijnyy8M2tfdFQeot2bUrERe3ZK9FwTaZZw,2022-08-05T03:35:54.208Z,bifrost_636f756e-00000371,2022-08-05T06:26:00.432Z,ACTIVE,3,,https://deepdao.io/feed-proposal/bifrost_636f756e-00000371,https://deepdao.io/user/fXznm8JzrUuyEijnyy8M2tfdFQeot2bUrERe3ZK9FwTaZZw/verified_dao_experience
