,organizationId,platform,title,description,proposer,proposalCreatedAt,proposalNativeId,endedAt,status,totalVotes,choicesMappedToScores,proposalUrl,proposerProfilePageUrl
0,e76c36dc-2d52-43e3-9b51-fd64d76d8960,SNAPSHOT,How was your experience at zksync?,"Zksync has been launched on the main network 2.0, and it is still several months before it is fully open. Are you looking forward to the experience of zksync 2.0?",0x63bab39b89a156cc528b374c0109b77b4e343b53,2022-11-04T13:28:40.000Z,0x48e72db0d8f73edb2e87cd5449a159674321779d230504a71e896708478ce844,2023-01-05T04:00:00.000Z,ACTIVE,8687,"{""YES"":""["",""NO"":""8""}",https://deepdao.io/feed-proposal/0x48e72db0d8f73edb2e87cd5449a159674321779d230504a71e896708478ce844,https://deepdao.io/user/0x63bab39b89a156cc528b374c0109b77b4e343b53/verified_dao_experience
1,e76c36dc-2d52-43e3-9b51-fd64d76d8960,SNAPSHOT,Do you want zkSync to issue coins?,Do you want zkSync to issue coins? And dropped it on you?,0x63bab39b89a156cc528b374c0109b77b4e343b53,2022-11-03T06:17:35.000Z,0x69db92f9d7c583588e3cab5190d74d4973efd58837413c47d3110b0e0eb30522,2023-02-10T04:00:00.000Z,ACTIVE,8217,"{""Yes"":""["",""No"":""8""}",https://deepdao.io/feed-proposal/0x69db92f9d7c583588e3cab5190d74d4973efd58837413c47d3110b0e0eb30522,https://deepdao.io/user/0x63bab39b89a156cc528b374c0109b77b4e343b53/verified_dao_experience
2,e76c36dc-2d52-43e3-9b51-fd64d76d8960,SNAPSHOT,How was your experience at zksync?,"Zksync has been launched on the main network 2.0, and it is still several months before it is fully open. Are you looking forward to the experience of zksync 2.0?",0x51b3335c908e97d597aec4d813b0ac7b3ac26b9f,2022-11-13T09:32:51.000Z,0xb37fb4a981f21d0afb30884444ac4e83086714453663a4d110a5dbb66375d30a,2023-01-05T04:00:00.000Z,ACTIVE,8071,"{""YES"":""["",""NO"":""7""}",https://deepdao.io/feed-proposal/0xb37fb4a981f21d0afb30884444ac4e83086714453663a4d110a5dbb66375d30a,https://deepdao.io/user/0x51b3335c908e97d597aec4d813b0ac7b3ac26b9f/verified_dao_experience
3,da9956dc-8a87-40c0-a066-b8991d67e574,SNAPSHOT,Become a tenant in the Bloktopia VR metaverse,It would be awesome to see pancakeswap become a tenant in the new vr/ar bloktopia metaverse. The metaverse launches in Q1 of 2022. They already have tons of big name crypto projects as tenants. So it only makes since that pancakeswap would become one to.,0x3ec827d4c56652b826a6cfb38257b3fd17b36922,2021-11-13T21:35:10.000Z,QmUcyAf7HBBWcwDiNjFkwFSTwD2ZKz9s8XiLatqEFMbx8z,2028-03-13T07:00:00.000Z,ACTIVE,4467,"{""YES"":""["",""No"":""3""}",https://deepdao.io/feed-proposal/QmUcyAf7HBBWcwDiNjFkwFSTwD2ZKz9s8XiLatqEFMbx8z,https://deepdao.io/user/0x3ec827d4c56652b826a6cfb38257b3fd17b36922/verified_dao_experience
4,414a6dfa-add1-48cc-8326-206ff3c84885,SNAPSHOT,LiveArt Championship Vote,,0x40348c8b3caedb10ef673f678a03b293aa4b78fa,2022-11-12T09:49:47.000Z,0xc056a0f4a45eb815b42a87e0df1745b5a3b1621e36f279d5ae7cb67e655426ee,2022-12-05T10:00:00.000Z,ACTIVE,4169,"{""Fantasy Futbol(by TheJuqqernaut)"":""["",""Dribble Me This(by Luca Van Charli)"":""2"",""GoGoGo!(by Left)"":""1"",""COSMOBALL(by Lera Nibiru)"":""6"",""Just alive (with no particular aim) 20221003(by teshnakamura)"":""2"",""⚽🔥(by Lès Gümes)"":"","",""Patchy(by Nguyen huan)"":""3"",""The Olympic Games(by Sykanickname)"":""9"",""Future Champions(by Amy George)"":""2"",""Avhnft.(by Bambang Purnomo)"":"","",""FAYA Dragon(by FAYA)"":""4"",""the sun of qatar(by Alrizky Agnif Novanda)"":""8"",""WORLD CUP ATHLETES(by Olga)"":""2"",""WORLD CUP OF SOCCER(by NEW COMPOSERS)"":"","",""SOCCER BALL MANDALA(by ITTARDEA)"":""6"",""RGB cup(by Prasad)"":""4"",""ABSTRACT SOCCER(by SUBHASH PREM GIRI)"":""2"",""Champion League(by Stanislav Vedmid Lustre)"":"","",""Bản tin Crypto daily 700(by Quỳnh Mi)"":""2"",""ISCO(by Mohamad Hasby)"":""9"",""leopard(by Ibnu Febri)"":""1"",""BAB X(by Prj)"":"","",""Kliyan Mbape(by Ratih Putri Purnamasari)"":""2"",""Moments in World Cup History(by Daniel Nyari)"":""0"",""Intergalactic Messaging Champion(by Victoria Wu)"":""4"",""The Opening Game: WC 2022(by Mai Xuân Cảnh)"":"","",""Mara Wonders 06 (Championship)(by IAMARINATEN (TEN MARINA))"":""1"",""World Cup soccer championship 2022(by Dhruvek Solanki)"":""4"",""History of the World Cup(by Estelle SO)"":""0"",""FIFA soul in the Crypto Matrix(by VicVerse )"":"","",""Feeling 010(by Dam Ngoc Thuan)"":""2"",""WorldCups.soccer NFT(by worldcups.soccer)"":""0"",""Lazy Dino Argentina(by Lazy Holders)"":""3"",""DeGea(by Miftachul Nur Huda)"":"","",""BENZEMA(by Faizal Hafidh Ardiansyah)"":""5"",""Rose #3(by Bowen Sai)"":""3"",""Looking for your color(by PoMashka)"":"","",""XRP Ripple(by David Smith)"":""7"",""The Final Battle(by Rowan Long)"":"","",""Great Moments(by Keith Myers)"":""1"",""Gakko Football Star(by Vladimir Wies)"":""6"",""Sergio Ramos(by BAMBANG NUR SUSENO)"":"","",""Enceitve(by encentive)"":""4"",""Football - Love And Peace(by Ken Nedy)"":""4"",""Χάριτες Ⅰ(by BingQing Dong)"":""7"",""ZCLUB NFT(by ZCLUB)"":"","",""MafiaDogsNFT(by Omaj)"":""5"",""NewLand Girl(by NewLand)"":""3"",""Team Doge World Cup(by Space Hawk)"":"","",""Golden Bitcoin Soccer Ball(by Space Hawk)"":""6"",""RED GIRL WITH SOCCER BALL(by Ashas Ras)"":""3"",""hard work. soccer. space. beyond the stars. more hard work. (by Matthew Dean Bodo)"":"","",""APE Space World Cup(by Triathon Space)"":""2"",""Dinousoccer(by KCrossline)"":""3"",""Zombies love Footbal(by Karmaverse)"":"","",""FIFA Cat Army(by tao)"":""2"",""The Great World —1(by Sunyu)"":""5"",""The Security Gatekeeper(by GoPlus Africa)"":"","",""Local Champions(by Cassava Network)"":""1"",""Victor(by Olatunbosun Harris )"":""3"",""Take-off football(by Cassie)"":""4"",""Rainbow Gangster(by Mini_MiSue)"":"","",""Tai Chi(by oniii)"":""6"",""Brixton Village(by Akin Okusami)"":""2"",""Las Palmas Doradas(by Karina Abramova)"":"","",""The Rising Star On The Stadium(by Sonny Sun)"":""2"",""Kick Off(by kevin)"":""1"",""Yoyo in Qatar(by Tian)"":"","",""Yoyo in World Cup (by Tian)"":""1"",""Brazil will win!(by Charlotte)"":""5"",""France will win!(by Charlotte)"":"","",""21St Century Digital Boys(by Raiding Torch)"":""5"",""cyb nft(by abderrahmane kacel)"":""3"",""WinterSolePets (by Arup Chowdhury )"":"","",""GOLDEN CARD(by The Unbeknown)"":""7"",""NiftyLabsHQ(by Victoria Wu)"":""4"",""MACC cheers for World Cup(by Taraxacum)"":"","",""Flyrain's World Cup - 1(by Flyrain)"":""3"",""Flyrain's World Cup - 2(by Flyrain)"":""3""}",https://deepdao.io/feed-proposal/0xc056a0f4a45eb815b42a87e0df1745b5a3b1621e36f279d5ae7cb67e655426ee,https://deepdao.io/user/0x40348c8b3caedb10ef673f678a03b293aa4b78fa/verified_dao_experience
5,aa381fb4-a15c-4c97-aed8-fa3ec404e8aa,SNAPSHOT,How was your experience at Lens Protocol ?,"Lens Protocol has been launched on the Polygon mainnet network, and it is still several months before it is fully open. Are you looking forward to the experience of Lens Ecosystem ?",0x703ca7ac43aba29f05ce50073d3ad176a8cede6f,2022-11-12T15:22:50.000Z,0x62f423872018ab48367503045cf15964933c29731d4f96897e770d8bcd391557,2023-01-01T06:30:00.000Z,ACTIVE,2471,"{""Yes"":""["",""No"":""2""}",https://deepdao.io/feed-proposal/0x62f423872018ab48367503045cf15964933c29731d4f96897e770d8bcd391557,https://deepdao.io/user/0x703ca7ac43aba29f05ce50073d3ad176a8cede6f/verified_dao_experience
6,aa381fb4-a15c-4c97-aed8-fa3ec404e8aa,SNAPSHOT,we are lens friends ,we support lens ecosystem and try to part of this new revolation on decentralized social media,0x703ca7ac43aba29f05ce50073d3ad176a8cede6f,2022-11-12T01:34:42.000Z,0xa59d6b3937daae8cbcad15a1a34e3198c6d93ea1c13232d179cb10097eb47c9a,2022-12-25T06:30:00.000Z,ACTIVE,2452,"{""support"":""["",""against"":""2"",""excited"":""3"",""awsome"":""1""}",https://deepdao.io/feed-proposal/0xa59d6b3937daae8cbcad15a1a34e3198c6d93ea1c13232d179cb10097eb47c9a,https://deepdao.io/user/0x703ca7ac43aba29f05ce50073d3ad176a8cede6f/verified_dao_experience
7,da9956dc-8a87-40c0-a066-b8991d67e574,SNAPSHOT,Bybit Referral Code - jY3gW,"[Bybit Referral Code](https://coinhax.com/bybit.html)

Click here: [https://www.bybit.com/app/register?ref=jY3gW](https://www.bybit.com/app/register?ref=jY3gW)

or use this code: jY3gW

You'll get up to $1000 of trading rewards to use on Bybit.",0x0fda4ac09a12c10fae30e429f4d6b47c9a83c87e,2021-11-11T11:51:03.000Z,QmSUxBUVwrbBHEHAF3ioinig4vTnmm4NMqBqCHHCE4Duko,2023-12-30T16:00:00.000Z,ACTIVE,2323,"{""https://www.bybit.com/app/register?ref=jY3gW"":""7""}",https://deepdao.io/feed-proposal/QmSUxBUVwrbBHEHAF3ioinig4vTnmm4NMqBqCHHCE4Duko,https://deepdao.io/user/0x0fda4ac09a12c10fae30e429f4d6b47c9a83c87e/verified_dao_experience
8,bff66cf5-8824-4842-bfc6-a6331b9b2a00,SNAPSHOT,VC is the biggest threaten to Web3 development.,,0xd8568406644708a2bbdfeb56c5173e721907a8c2,2022-03-18T17:04:57.000Z,0x998d94e784e0213631ad73ad35f49b181ed5e340c93d96d1261b0ea2ceb1cecc,2022-12-05T04:00:00.000Z,ACTIVE,2300,"{""Right"":""["",""Wrong"":""2""}",https://deepdao.io/feed-proposal/0x998d94e784e0213631ad73ad35f49b181ed5e340c93d96d1261b0ea2ceb1cecc,https://deepdao.io/user/0xd8568406644708a2bbdfeb56c5173e721907a8c2/verified_dao_experience
9,bff66cf5-8824-4842-bfc6-a6331b9b2a00,SNAPSHOT,Yuga Labs will be harmful to the healthy development of NFT market.,,0x98ee51a2119520e562ed724ae2a933be5542bb9d,2022-03-22T15:16:15.000Z,0x6aac9de28a98997bba693476e6f0f4aed37219a59f96e0b0ec4c51eba6b36ca3,2022-12-26T04:00:00.000Z,ACTIVE,2283,"{""Agree"":""["",""Disagree"":""3""}",https://deepdao.io/feed-proposal/0x6aac9de28a98997bba693476e6f0f4aed37219a59f96e0b0ec4c51eba6b36ca3,https://deepdao.io/user/0x98ee51a2119520e562ed724ae2a933be5542bb9d/verified_dao_experience
