,organizationId,platform,title,description,proposer,proposalCreatedAt,proposalNativeId,endedAt,status,totalVotes,choicesMappedToScores,proposalUrl,proposerProfilePageUrl
0,dc75701f-177f-411d-be4c-87e2b670b274,SNAPSHOT,daaa,aaaa,0x66eacd67e94d9db0dcd65aa0286312471c93088b,2022-11-30T17:48:52.000Z,0xea8d652f684abdeec7f19e8b3d647d4bea752b7a48a210420a80c585cf463f19,2022-12-03T17:48:50.000Z,ACTIVE,2,"{""aaa"":""["",""aaaa"":""1""}",https://deepdao.io/feed-proposal/0xea8d652f684abdeec7f19e8b3d647d4bea752b7a48a210420a80c585cf463f19,https://deepdao.io/user/0x66eacd67e94d9db0dcd65aa0286312471c93088b/verified_dao_experience
1,1dad529d-8e13-4700-b609-7503e60d3091,SNAPSHOT,Zec to da Moon,@157 H.O.D.L till end of times,0x3af9fe35d280ada5a5edb1bef3ed872a3231d73c,2022-03-17T05:19:12.000Z,0x503736de0841888a78ce755f78cb3c926d2bfed5a7c5c00b615572756c837fc5,2024-06-30T03:20:00.000Z,ACTIVE,2,"{""skrr"":""["",""brrr"":""1""}",https://deepdao.io/feed-proposal/0x503736de0841888a78ce755f78cb3c926d2bfed5a7c5c00b615572756c837fc5,https://deepdao.io/user/0x3af9fe35d280ada5a5edb1bef3ed872a3231d73c/verified_dao_experience
2,dc75701f-177f-411d-be4c-87e2b670b274,SNAPSHOT,nfgnfgnfg,fgnfgnfgnfg,0x66eacd67e94d9db0dcd65aa0286312471c93088b,2022-11-30T18:14:23.000Z,0x277ee9a6a3b707f4b823260380f46de952cd3b5dfaa971850b6e3d4b5241bfcd,2022-12-03T18:14:20.000Z,ACTIVE,2,"{""hjkyjkhjj"":""["",""jfjfgjfgj"":""2""}",https://deepdao.io/feed-proposal/0x277ee9a6a3b707f4b823260380f46de952cd3b5dfaa971850b6e3d4b5241bfcd,https://deepdao.io/user/0x66eacd67e94d9db0dcd65aa0286312471c93088b/verified_dao_experience
3,ad814279-3f12-428d-820a-be25abb51273,SNAPSHOT,Snapshot Investment Vote 39,"Invest $100k in VMEX Finance.

https://hideout.metacartel.xyz/t/vmex-investment-memo/293",0x6df304782b0866d2538c8fd2e46904a7f2ae321c,2022-11-28T19:02:03.000Z,0xe7d45dc713c0862128dc507f890488f2eb33fe4c39dee2c3854a9e57a70a02bd,2022-12-05T19:01:55.000Z,ACTIVE,2,"{""yes"":""["",""no"":""1""}",https://deepdao.io/feed-proposal/0xe7d45dc713c0862128dc507f890488f2eb33fe4c39dee2c3854a9e57a70a02bd,https://deepdao.io/user/0x6df304782b0866d2538c8fd2e46904a7f2ae321c/verified_dao_experience
4,c84cd1ca-1b59-4ac7-ba68-0f3763e60998,,"Approve a proposal. At a later time, the proposal will be allocated to the beneficiary
and the original deposit will be returned.

May only be called from `T::ApproveOrigin`.

# <weight>
- Complexity: O(1).
- DbReads: `Proposals`, `Approvals`
- DbWrite: `Approvals`
# </weight>",,1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL,2022-10-17T17:04:42.010Z,polkadot_636f756e-00000280,,ACTIVE,2,,https://deepdao.io/feed-proposal/polkadot_636f756e-00000280,https://deepdao.io/user/1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL/verified_dao_experience
5,4b93a294-24ba-471b-9e66-98a8c766dd24,SNAPSHOT,工作照,屏蔽,0xf3a1d0793aca114855bff895f30385995f2d2b69,2021-11-12T07:26:10.000Z,0xa0ca858e4e034c1e2c47e20dd8bcfe7c288c1743633a9d71c8f871b07f11c76f,2023-02-28T04:00:00.000Z,ACTIVE,2,"{""安全落地"":""["",""坐飞机"":""0""}",https://deepdao.io/feed-proposal/0xa0ca858e4e034c1e2c47e20dd8bcfe7c288c1743633a9d71c8f871b07f11c76f,https://deepdao.io/user/0xf3a1d0793aca114855bff895f30385995f2d2b69/verified_dao_experience
6,c59bd47c-f69f-4f2c-aafa-2454ee021fdb,SNAPSHOT,When will Arb airdrop to early users?,When will Arb airdrop to early users?,0xd95cc726c309ff9f8a59099337601fd568370505,2022-07-02T07:57:13.000Z,0xe67e852b4fdbaaf2839f2afb543eb3f7b82a9419e31d05238fe10c82f4a6c81b,2027-01-25T04:00:00.000Z,ACTIVE,2,"{""soon"":""["",""on 2025"":""2""}",https://deepdao.io/feed-proposal/0xe67e852b4fdbaaf2839f2afb543eb3f7b82a9419e31d05238fe10c82f4a6c81b,https://deepdao.io/user/0xd95cc726c309ff9f8a59099337601fd568370505/verified_dao_experience
7,e10d5152-4098-419b-a9ec-e9a26c0a975e,SNAPSHOT,Migrating the Spool DAO Treasury Smart Vault [SIP - 1.19],"## Summary 📑

Transfer the 10 million DAI from the current treasury Smart Vault to a new one with increased yield.

## Proposal 📫

For the past X months the majority of treasury funds has been generating yield in its designated vault leveraging Aave, Compound, Convex (3pool), Curve (3pool), Harvest, Idle, and Yearn strategies. As the Curve strategy has decreased its yields and the exposure is equal due to Convex Finance, we propose to set up a new Treasury Smart Vault that has the Curve strategy removed and subsequently transfer the 10 million DAI into the newly created Smart Vault.

# Motivation 🔥

The not yet needed DAO treasury funds shall continue farming yield within the Spool protocol but with a potentially higher APY. With this vote Spool DAO should decide to set up a new, unincentivized, low-risk Spool, to raise the yield from currently ~$178,000 annually to ~$223,000. The additional $45,000 will benefit future development and enable further improvement of the Spool protocol and brand.

## Vote 🗳

With “Yes” you vote to set up a new Spool Treasury Smart Vault and transfer the balance of the current Treasury to it, with “No” you vote against this strategy.",0x1692b7c8ca1d384c22336e482a5d5ff46e1d86cd,2022-11-29T18:15:52.000Z,0xe60fb35e24e9932f8ecc7f3972aaaf2341ab3772f81514513ba54d12afe04342,2022-12-05T13:00:00.000Z,ACTIVE,2,"{""Yes"":""["",""No"":""2""}",https://deepdao.io/feed-proposal/0xe60fb35e24e9932f8ecc7f3972aaaf2341ab3772f81514513ba54d12afe04342,https://deepdao.io/user/0x1692b7c8ca1d384c22336e482a5d5ff46e1d86cd/verified_dao_experience
8,32970b68-b149-4824-a2ab-a6621d169b8b,SNAPSHOT,Feature to allow community to contribute to insider monitor - /addinsider,"Add /addinsider command to the analysis bot, that enables the community to contribute to the Sniper & Insider Monitor Channel

/addinsider Messi 0xWalletAddress

That will add 0xWalletAddress to the Sniper & Insider Monitor with the nickname Messi.",0xd53759e1e52258d6eef65ace9709ed0854291709,2022-11-29T08:40:18.000Z,0x9e666a5f68379d417f72dbac9020aff3970fa5b63fcdfd4619f6ad05caafb1fa,2023-02-27T08:40:16.000Z,ACTIVE,2,"{""For"":""["",""Against"":""2"",""Abstain"":"",""}",https://deepdao.io/feed-proposal/0x9e666a5f68379d417f72dbac9020aff3970fa5b63fcdfd4619f6ad05caafb1fa,https://deepdao.io/user/0xd53759e1e52258d6eef65ace9709ed0854291709/verified_dao_experience
9,787cc9f1-83ab-4219-be72-88ab6aa555ae,SNAPSHOT,真的是多链共存吗？,,0x477d1cbf830511b1123207911780376f1ad14a3d,2022-10-11T08:19:57.000Z,0xe295e70ecc1a4ef933f0abcc173024bbbe6be9709174ee6382dea774aed726c6,2023-01-20T04:00:00.000Z,ACTIVE,2,"{""不是的，多链是伪说"":""["",""多链有合理性"":""0""}",https://deepdao.io/feed-proposal/0xe295e70ecc1a4ef933f0abcc173024bbbe6be9709174ee6382dea774aed726c6,https://deepdao.io/user/0x477d1cbf830511b1123207911780376f1ad14a3d/verified_dao_experience
